#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,92,70,30.33,20.78,51.11,40.89
2,Sun Chasers,98,64,20.09,26.85,46.94,51.06
3,Sugar Kings,104,58,28.25,18.26,46.51,57.49
4,Spiders,78,84,29.55,15.88,45.43,32.57
5,Outlaws,91,71,24.37,19.44,43.81,47.19
6,Mermen,96,66,30.17,12.14,42.30,53.70
7,Blucifers,89,74,16.04,24.53,40.57,48.43
8,Homewreckers,82,80,21.57,16.96,38.52,43.48
9,Bite,81,81,14.33,20.78,35.11,45.89
10,Blue Wave,83,79,15.99,18.32,34.32,48.68
11,Tigers,73,89,14.29,18.49,32.77,40.23
12,Centurions,70,92,11.61,19.64,31.25,38.75
13,Hunters,70,92,14.50,15.60,30.10,39.90
14,Shellbacks,88,74,15.24,13.21,28.45,59.55
15,Honu,88,75,20.83,6.36,27.18,60.82
16,Dragons,53,109,12.02,8.65,20.67,32.33
17,Boazu,61,101,10.74,5.68,16.42,44.58
18,Surfers,62,100,-4.71,11.97,7.25,54.75