ID,DOB
157,03/01/1959
772,09/29/1959
4121,12/18/1959
266,03/02/1960
362,03/30/1960
623,05/18/1960
588,09/05/1960
44,12/26/1960
641,01/09/1961
987,01/30/1961
1463,03/05/1961
689,04/18/1961
964,05/04/1961
30,05/04/1961
112,06/07/1961
733,08/13/1961
766,08/16/1961
426,08/22/1961
1333,08/31/1961
242,09/08/1961
222,11/22/1961
15,12/05/1961
110,01/25/1962
211,03/29/1962
391,04/02/1962
587,04/07/1962
348,04/18/1962
180,04/28/1962
600,05/06/1962
331,05/20/1962
93,05/31/1962
1016,06/08/1962
709,06/09/1962
464,06/10/1962
412,06/29/1962
370,07/27/1962
334,08/18/1962
1,08/23/1962
168,09/03/1962
567,09/06/1962
83,09/24/1962
638,10/15/1962
109,10/22/1962
508,11/05/1962
704,11/24/1962
972,11/25/1962
346,12/14/1962
815,12/21/1962
595,01/29/1963
379,02/04/1963
270,02/07/1963
963,02/19/1963
633,02/27/1963
651,03/16/1963
765,04/12/1963
1422,04/15/1963
97,04/22/1963
670,05/08/1963
1464,06/04/1963
321,06/30/1963
602,07/02/1963
618,08/19/1963
32,09/11/1963
374,09/14/1963
1247,09/17/1963
453,10/10/1963
1012,10/30/1963
1159,11/03/1963
738,11/08/1963
438,11/14/1963
131,12/06/1963
57,12/09/1963
664,01/09/1964
407,01/26/1964
499,02/05/1964
443,02/20/1964
283,03/12/1964
144,03/26/1964
90,03/28/1964
576,04/11/1964
37,04/30/1964
684,05/02/1964
4126,05/03/1964
1168,05/08/1964
1170,05/17/1964
319,05/19/1964
1334,06/01/1964
996,06/04/1964
1408,06/11/1964
1412,06/14/1964
716,06/16/1964
1492,06/30/1964
120,07/25/1964
1442,07/29/1964
477,08/12/1964
40,09/09/1964
1114,09/11/1964
1217,09/23/1964
530,09/29/1964
1260,10/03/1964
503,10/17/1964
5893,10/22/1964
1766,10/27/1964
793,11/07/1964
293,11/12/1964
4470,12/04/1964
569,12/08/1964
1141,12/10/1964
550,01/07/1965
1341,01/28/1965
1036,02/03/1965
669,02/04/1965
702,02/08/1965
518,02/12/1965
1368,02/16/1965
4846,03/02/1965
469,03/02/1965
431,03/06/1965
610,03/14/1965
1388,03/19/1965
1142,03/23/1965
1239,04/12/1965
1021,04/18/1965
1263,04/20/1965
1369,04/25/1965
1240,05/29/1965
9,06/13/1965
1304,06/19/1965
309,06/27/1965
257,07/26/1965
152,08/24/1965
707,08/28/1965
740,09/10/1965
1889,09/14/1965
626,09/28/1965
326,10/04/1965
463,10/05/1965
1339,10/21/1965
1053,11/06/1965
2363,11/25/1965
119,11/26/1965
476,12/02/1965
644,12/02/1965
646,12/13/1965
81,12/16/1965
4845,12/25/1965
1196,01/02/1966
1468,01/13/1966
1290,01/14/1966
1346,01/15/1966
1191,01/22/1966
1618,02/19/1966
955,03/04/1966
1615,03/08/1966
498,03/12/1966
14,03/25/1966
1590,03/29/1966
683,04/11/1966
202,04/14/1966
31,04/15/1966
817,05/21/1966
1270,05/31/1966
1229,06/14/1966
437,06/17/1966
221,06/20/1966
1688,06/25/1966
1818,06/29/1966
2083,07/09/1966
1315,07/15/1966
292,07/24/1966
1689,07/29/1966
4844,07/31/1966
1437,08/05/1966
556,08/26/1966
489,08/30/1966
1666,09/01/1966
6614,09/03/1966
207,09/21/1966
888,10/18/1966
609,10/26/1966
1421,10/31/1966
1397,11/11/1966
1514,11/13/1966
1212,11/30/1966
1496,12/22/1966
1946,12/31/1966
5548,12/31/1966
1190,01/03/1967
1755,01/09/1967
1724,01/28/1967
1215,02/04/1967
1380,02/07/1967
2737,02/10/1967
1062,02/19/1967
484,02/28/1967
1363,03/03/1967
478,03/05/1967
2773,03/09/1967
5547,03/26/1967
691,03/29/1967
1698,04/07/1967
2556,04/11/1967
814,04/17/1967
1869,04/17/1967
1155,04/28/1967
1218,05/08/1967
1427,06/14/1967
1850,06/20/1967
1720,06/25/1967
4484,07/21/1967
2639,08/05/1967
1214,09/09/1967
2684,09/09/1967
2717,09/20/1967
2548,10/01/1967
2644,10/09/1967
56,10/17/1967
1844,10/24/1967
663,10/27/1967
929,10/30/1967
1101,10/30/1967
1638,10/31/1967
1717,11/13/1967
1847,11/13/1967
66,11/16/1967
2657,11/16/1967
1372,11/17/1967
1912,11/18/1967
854,12/09/1967
1343,12/14/1967
1164,12/15/1967
1488,12/28/1967
1845,01/04/1968
2589,01/08/1968
1371,01/20/1968
2610,01/22/1968
604,02/02/1968
2757,02/05/1968
1303,02/11/1968
1923,02/20/1968
2647,02/22/1968
758,03/05/1968
2759,03/13/1968
1716,03/19/1968
2745,03/19/1968
1226,03/21/1968
528,03/27/1968
2586,03/30/1968
1268,04/02/1968
459,04/09/1968
156,04/11/1968
2628,04/19/1968
2744,04/30/1968
143,06/02/1968
1608,06/05/1968
1589,06/25/1968
1588,07/08/1968
1841,07/20/1968
1696,07/25/1968
562,08/12/1968
1116,08/13/1968
5,08/19/1968
1816,08/21/1968
1115,08/29/1968
2678,08/31/1968
2761,09/17/1968
116,09/21/1968
2515,10/02/1968
531,10/20/1968
1693,10/30/1968
2682,10/31/1968
2557,11/01/1968
2659,11/04/1968
2530,11/06/1968
1543,11/08/1968
1795,11/11/1968
4475,11/14/1968
85,11/21/1968
1897,11/30/1968
1596,12/02/1968
2514,12/04/1968
6248,12/21/1968
1108,12/22/1968
2563,12/29/1968
2517,02/08/1969
1147,02/10/1969
1896,02/10/1969
1704,03/04/1969
2705,03/07/1969
2853,03/17/1969
2913,03/20/1969
1513,05/18/1969
2846,05/22/1969
243,06/01/1969
2834,06/01/1969
2820,06/08/1969
2576,06/08/1969
2801,06/15/1969
5542,06/20/1969
4468,06/21/1969
2825,06/22/1969
2895,07/11/1969
1931,07/13/1969
3359,07/15/1969
2819,07/26/1969
1517,07/27/1969
3300,08/23/1969
1801,09/04/1969
1768,09/10/1969
1664,10/08/1969
2886,10/14/1969
2917,10/16/1969
2906,10/19/1969
1668,10/20/1969
330,11/01/1969
7824,11/06/1969
2523,11/20/1969
645,11/21/1969
2799,12/06/1969
2866,12/12/1969
1856,12/25/1969
2708,12/27/1969
3360,12/28/1969
2902,01/08/1970
2889,01/14/1970
5549,02/02/1970
2808,02/13/1970
1429,02/19/1970
5209,02/25/1970
4493,03/10/1970
5544,03/12/1970
2351,03/22/1970
2880,04/04/1970
2904,04/05/1970
3443,04/11/1970
3458,04/23/1970
3037,05/01/1970
2982,05/24/1970
2840,05/25/1970
3785,05/29/1970
5898,06/03/1970
2386,07/09/1970
4478,07/09/1970
3439,07/18/1970
2396,07/21/1970
2935,07/21/1970
1988,07/28/1970
3306,08/06/1970
5539,08/10/1970
3467,08/20/1970
4840,08/23/1970
1827,08/26/1970
1982,09/04/1970
4158,09/09/1970
3408,09/10/1970
3061,09/15/1970
3039,09/21/1970
3474,10/02/1970
4486,10/04/1970
2942,10/09/1970
2946,10/12/1970
2578,10/29/1970
3447,11/04/1970
3469,11/04/1970
6251,11/12/1970
2354,11/15/1970
5894,11/17/1970
7825,12/19/1970
2994,01/02/1971
2666,01/06/1971
3454,01/08/1971
5191,01/16/1971
3034,01/16/1971
2352,01/17/1971
2321,01/17/1971
755,01/20/1971
3036,02/09/1971
1083,02/14/1971
2402,02/20/1971
3070,02/27/1971
1405,03/05/1971
2434,03/07/1971
3409,03/09/1971
5553,04/15/1971
3811,05/09/1971
2608,05/15/1971
3537,05/24/1971
2522,06/02/1971
2679,06/17/1971
2786,06/27/1971
2699,07/20/1971
2568,07/22/1971
3418,07/24/1971
5185,07/31/1971
7256,08/11/1971
2701,08/18/1971
95,08/21/1971
9634,08/28/1971
1088,10/14/1971
2748,10/18/1971
1356,10/19/1971
1616,10/24/1971
2519,10/29/1971
4469,11/05/1971
7255,11/09/1971
2535,11/20/1971
2506,11/27/1971
3826,12/06/1971
3494,12/17/1971
3825,01/24/1972
3834,01/29/1972
4495,02/08/1972
381,02/24/1972
2697,02/24/1972
5895,02/27/1972
2733,03/08/1972
2516,03/25/1972
2619,04/03/1972
4165,04/03/1972
3225,04/06/1972
8910,04/07/1972
65,04/17/1972
3840,04/22/1972
2675,05/23/1972
3871,05/26/1972
2588,05/28/1972
6609,05/31/1972
2873,06/13/1972
7254,06/15/1972
1658,06/16/1972
2677,06/19/1972
4193,06/19/1972
3354,06/20/1972
3252,06/26/1972
1127,06/28/1972
840,06/28/1972
3242,07/04/1972
3365,07/05/1972
3495,07/06/1972
1381,07/13/1972
2900,07/20/1972
3387,07/30/1972
485,08/09/1972
4196,08/15/1972
4499,08/17/1972
3308,09/28/1972
2768,10/05/1972
1863,10/08/1972
1415,10/18/1972
1331,10/19/1972
3301,10/26/1972
5537,11/10/1972
2777,11/30/1972
4191,12/12/1972
2883,12/12/1972
2918,12/14/1972
4187,12/17/1972
2885,12/21/1972
2833,01/03/1973
3869,01/08/1973
2884,02/14/1973
7514,03/16/1973
4518,03/24/1973
3215,04/14/1973
4216,04/16/1973
3797,05/03/1973
3780,05/03/1973
2805,05/13/1973
6615,05/17/1973
3449,05/22/1973
3787,05/23/1973
2809,05/25/1973
2501,06/01/1973
4242,06/02/1973
4278,06/03/1973
3432,06/05/1973
3788,06/11/1973
3460,06/20/1973
3684,06/25/1973
4247,06/28/1973
3256,07/03/1973
3207,07/17/1973
3307,07/18/1973
3183,08/07/1973
3227,08/10/1973
3770,09/05/1973
3396,09/18/1973
5216,10/01/1973
3222,10/02/1973
3015,10/14/1973
5220,10/25/1973
3025,10/26/1973
3692,10/28/1973
2987,11/01/1973
3312,11/02/1973
3190,11/18/1973
3217,11/18/1973
3224,11/20/1973
3047,11/29/1973
3232,11/30/1973
3441,12/08/1973
2937,12/11/1973
3798,12/18/1973
2979,12/19/1973
3049,12/23/1973
4070,01/10/1974
3223,01/24/1974
7522,01/26/1974
4542,01/29/1974
4239,02/08/1974
8153,02/12/1974
4229,02/21/1974
5215,02/26/1974
7826,03/26/1974
4896,03/30/1974
4096,04/07/1974
4098,04/10/1974
4901,04/12/1974
3669,04/13/1974
4225,04/17/1974
4583,04/21/1974
4248,04/26/1974
4230,05/28/1974
3088,06/12/1974
3136,06/22/1974
3167,07/04/1974
3542,07/08/1974
3172,07/16/1974
3688,07/31/1974
2948,08/06/1974
3773,08/06/1974
4604,08/20/1974
6626,08/20/1974
3122,08/27/1974
3650,08/28/1974
3687,08/29/1974
3120,09/04/1974
3488,09/04/1974
3507,09/10/1974
8628,09/14/1974
3691,09/20/1974
3080,09/20/1974
4027,09/22/1974
4601,09/22/1974
4879,09/24/1974
3712,10/03/1974
3147,10/09/1974
3268,10/16/1974
3544,10/20/1974
3486,10/22/1974
3489,10/26/1974
3150,10/28/1974
4875,11/03/1974
3533,11/03/1974
2952,11/04/1974
3693,11/07/1974
3734,12/01/1974
3169,12/15/1974
3690,12/18/1974
3135,12/19/1974
3290,12/24/1974
3698,01/21/1975
3678,01/31/1975
7516,02/21/1975
3130,03/05/1975
5546,03/11/1975
3702,03/11/1975
4609,03/15/1975
4553,03/16/1975
3173,03/19/1975
5925,03/25/1975
3694,03/27/1975
3701,04/09/1975
4427,04/23/1975
8904,04/28/1975
10557,05/03/1975
3699,05/08/1975
3119,05/19/1975
3521,05/24/1975
3586,06/01/1975
3567,06/03/1975
3133,06/15/1975
4025,06/22/1975
4039,06/28/1975
3914,06/29/1975
4558,06/30/1975
4180,07/08/1975
3117,07/09/1975
3887,07/09/1975
3608,07/10/1975
4972,07/13/1975
3753,07/14/1975
7822,07/14/1975
5221,07/18/1975
3896,07/23/1975
3094,07/25/1975
4171,08/20/1975
3912,08/24/1975
4184,09/01/1975
3890,09/10/1975
3755,09/17/1975
4133,09/25/1975
3587,09/28/1975
3151,10/05/1975
3578,10/17/1975
3607,10/24/1975
8150,10/28/1975
3592,10/31/1975
4944,10/31/1975
4071,11/03/1975
4078,11/04/1975
3141,11/07/1975
3160,11/10/1975
3581,11/16/1975
3534,11/23/1975
3643,11/29/1975
5239,12/01/1975
3553,12/02/1975
4069,12/13/1975
3602,12/13/1975
4045,12/14/1975
5229,12/26/1975
3885,01/02/1976
5264,01/08/1976
4041,01/08/1976
4067,01/09/1976
3626,01/11/1976
4093,01/17/1976
5242,01/17/1976
5227,01/18/1976
3565,01/23/1976
4918,01/26/1976
4066,01/29/1976
4076,01/31/1976
5238,02/03/1976
3564,02/03/1976
4956,02/05/1976
3562,02/07/1976
4128,02/07/1976
3639,02/12/1976
4729,02/18/1976
3632,02/23/1976
4074,02/24/1976
5294,03/07/1976
3621,03/07/1976
4176,03/18/1976
5321,03/27/1976
3893,03/28/1976
5319,04/04/1976
4052,04/08/1976
4461,04/09/1976
4061,04/25/1976
3991,05/08/1976
4153,05/12/1976
3630,05/17/1976
3850,05/22/1976
3923,05/23/1976
5274,05/27/1976
4400,05/30/1976
4240,06/01/1976
4416,06/03/1976
5924,06/09/1976
3958,06/16/1976
3976,06/28/1976
5317,07/08/1976
3634,07/09/1976
4235,07/17/1976
4407,07/17/1976
3932,07/21/1976
8625,07/25/1976
4013,07/30/1976
4417,08/10/1976
4959,08/16/1976
4924,08/19/1976
3954,08/22/1976
3987,08/25/1976
5315,09/09/1976
4009,09/16/1976
4000,09/27/1976
3994,10/02/1976
3844,10/09/1976
3945,10/12/1976
4426,10/19/1976
3933,10/21/1976
5316,10/28/1976
5338,11/01/1976
4389,11/03/1976
3962,11/05/1976
4420,11/08/1976
4423,11/15/1976
5578,11/21/1976
5330,11/30/1976
4146,12/01/1976
4536,12/06/1976
5590,12/09/1976
4277,12/10/1976
4238,12/11/1976
4509,12/28/1976
3951,01/07/1977
4384,01/07/1977
4233,01/17/1977
4437,01/19/1977
7821,01/20/1977
5587,01/26/1977
5277,01/30/1977
4217,01/31/1977
4241,02/04/1977
8906,02/06/1977
4791,02/06/1977
5667,02/06/1977
4236,02/10/1977
3940,02/25/1977
4421,02/28/1977
3977,03/03/1977
5646,03/06/1977
4515,03/31/1977
4428,03/31/1977
5090,04/06/1977
4335,05/05/1977
4270,05/06/1977
4213,05/09/1977
4353,05/17/1977
4432,05/19/1977
5674,05/20/1977
4572,05/23/1977
5659,05/23/1977
4621,05/31/1977
4485,06/04/1977
4291,06/19/1977
7823,06/21/1977
4218,06/22/1977
4740,06/23/1977
4575,06/24/1977
4333,06/26/1977
5951,06/27/1977
4318,07/04/1977
4577,07/16/1977
4774,07/18/1977
4874,08/03/1977
4348,08/07/1977
5610,08/08/1977
4616,08/10/1977
4012,08/15/1977
4309,08/21/1977
4005,08/22/1977
5965,08/22/1977
3955,08/24/1977
4600,08/25/1977
4878,08/25/1977
4779,08/28/1977
4373,09/04/1977
4794,09/04/1977
4487,09/07/1977
4561,09/08/1977
4783,09/11/1977
9872,09/15/1977
5670,09/23/1977
5280,09/24/1977
5678,09/28/1977
4359,10/03/1977
5160,10/09/1977
7252,10/13/1977
4726,10/21/1977
4368,10/31/1977
5634,10/31/1977
4010,11/05/1977
4833,11/06/1977
5635,11/07/1977
4790,11/08/1977
3959,11/09/1977
5654,11/14/1977
3980,11/20/1977
10550,11/21/1977
4735,11/26/1977
7253,11/26/1977
4314,11/27/1977
4883,12/04/1977
4825,12/04/1977
5155,12/08/1977
4306,12/11/1977
5126,12/14/1977
4821,12/17/1977
9630,12/28/1977
5675,01/01/1978
4374,01/11/1978
5624,01/21/1978
4567,01/23/1978
4297,01/26/1978
5619,01/29/1978
4620,02/06/1978
4848,02/08/1978
8909,02/12/1978
6316,02/14/1978
8911,02/14/1978
4586,02/21/1978
5103,02/26/1978
4744,02/27/1978
4340,03/07/1978
6306,03/08/1978
4554,03/12/1978
5133,03/18/1978
6289,03/19/1978
6294,03/23/1978
5087,03/31/1978
4835,04/08/1978
9875,04/13/1978
4851,04/17/1978
8164,04/27/1978
4349,04/29/1978
5950,05/08/1978
4672,05/09/1978
4773,05/12/1978
5235,05/16/1978
5237,05/17/1978
4764,05/24/1978
4289,05/26/1978
4889,05/27/1978
4824,06/03/1978
5130,06/06/1978
5991,06/07/1978
9876,06/09/1978
4800,06/23/1978
4698,06/27/1978
4858,06/29/1978
4964,07/07/1978
4713,07/08/1978
4890,07/11/1978
6016,07/12/1978
4667,07/18/1978
4634,07/20/1978
5261,07/22/1978
4330,08/01/1978
6297,08/01/1978
6308,08/18/1978
4948,08/20/1978
4372,08/23/1978
4866,08/31/1978
6314,09/02/1978
6645,09/13/1978
4717,09/16/1978
4303,09/19/1978
4716,09/19/1978
4659,09/23/1978
4312,09/28/1978
4979,09/29/1978
5125,10/04/1978
4628,10/07/1978
4650,10/10/1978
4714,10/11/1978
4715,10/11/1978
5463,10/11/1978
6304,10/13/1978
4597,10/17/1978
6283,10/18/1978
4371,10/22/1978
4642,10/27/1978
5138,10/31/1978
6038,11/03/1978
5247,11/09/1978
4692,11/09/1978
4666,11/11/1978
5255,11/15/1978
5240,11/23/1978
6309,11/25/1978
4689,11/25/1978
5997,11/26/1978
4934,11/26/1978
4640,11/28/1978
5128,12/03/1978
5205,12/05/1978
5254,12/09/1978
4701,12/12/1978
6649,12/13/1978
10547,12/13/1978
6007,12/21/1978
6313,12/31/1978
5979,01/02/1979
5113,01/09/1979
5980,01/10/1979
4695,01/12/1979
5112,01/22/1979
4913,01/25/1979
5795,01/26/1979
4673,01/26/1979
4632,01/29/1979
6941,02/07/1979
10345,02/10/1979
4638,02/16/1979
5132,02/19/1979
4665,02/26/1979
4923,02/28/1979
5122,03/03/1979
6000,03/06/1979
6032,03/09/1979
9633,03/12/1979
4675,03/19/1979
6022,03/20/1979
5256,03/20/1979
6389,03/22/1979
6942,03/24/1979
5135,03/30/1979
5451,04/07/1979
5117,04/09/1979
5167,04/10/1979
6328,04/16/1979
4636,04/17/1979
6315,04/25/1979
4951,05/06/1979
6937,05/13/1979
5129,05/18/1979
5014,05/28/1979
5046,05/29/1979
5551,05/29/1979
6673,06/17/1979
4945,06/18/1979
6660,06/18/1979
5059,06/19/1979
4988,06/20/1979
5137,06/21/1979
6368,06/22/1979
6682,06/23/1979
5033,06/27/1979
6284,07/01/1979
5051,07/01/1979
4993,07/09/1979
5158,07/13/1979
5843,07/14/1979
4658,07/19/1979
5290,07/27/1979
5835,07/29/1979
5488,08/03/1979
6397,08/15/1979
5073,08/16/1979
5012,09/02/1979
6373,09/09/1979
5296,09/11/1979
5019,09/13/1979
6394,09/20/1979
4668,09/21/1979
5486,09/23/1979
5003,09/29/1979
5037,09/29/1979
6382,10/10/1979
5471,10/11/1979
4691,10/14/1979
5574,10/15/1979
5018,10/18/1979
6359,10/20/1979
4674,10/20/1979
4998,10/27/1979
5032,10/28/1979
4985,10/28/1979
5052,11/01/1979
5001,11/07/1979
6653,11/22/1979
5022,11/27/1979
5040,11/29/1979
5604,11/29/1979
4999,12/12/1979
5323,12/22/1979
6666,12/28/1979
6950,12/31/1979
